dist_group,main_mode,share
0 - 1000,bike,0.28824022160163804
0 - 1000,car,0.10875260307616401
0 - 1000,pt,0.023456319937281797
0 - 1000,ride,0.04288985133187233
0 - 1000,walk,0.5366610040530438
1000 - 2000,bike,0.37558321277749035
1000 - 2000,car,0.20192962463347205
1000 - 2000,pt,0.09578996729455408
1000 - 2000,ride,0.0789875901427029
1000 - 2000,walk,0.2477096051517807
2000 - 5000,bike,0.25730747458753883
2000 - 5000,car,0.2973449976511968
2000 - 5000,pt,0.2582159353112399
2000 - 5000,ride,0.09674613109620367
2000 - 5000,walk,0.09038546135382078
5000 - 10000,bike,0.08574922073857237
5000 - 10000,car,0.3203559134914498
5000 - 10000,pt,0.46246158527520553
5000 - 10000,ride,0.09049389838215127
5000 - 10000,walk,0.040939382112620985
10000 - 20000,bike,0.11431366504801317
10000 - 20000,car,0.3289436496051093
10000 - 20000,pt,0.436545793975534
10000 - 20000,ride,0.1101533512759426
10000 - 20000,walk,0.010043540095400816
20000+,bike,0.02426430626335389
20000+,car,0.1591458191763507
20000+,pt,0.7453900963418478
20000+,ride,0.0709964296973691
20000+,walk,0.0002033485210783908
